mean_travel_time_s,p95_travel_time_s,throughput_veh_per_s,avg_queue_veh,max_queue_veh,spawned,exited,blocked_entries,lambda,controller,seed
244.420737,323.0,6.465833,14.556453,20.0,23710.0,15518.0,15156.0,0.45,fixed,1
241.452096,319.0,6.48,14.510828,20.0,23823.0,15552.0,14907.0,0.45,fixed,2
244.538871,322.5,6.452917,14.550891,20.0,23743.0,15487.0,15131.0,0.45,fixed,3
241.538173,318.5,6.5,14.511383,20.0,23778.0,15600.0,15120.0,0.45,fixed,4
189.412715,248.5,8.189167,13.392355,20.0,30072.0,19654.0,9009.0,0.45,max_pressure,0
189.441808,247.0,8.202083,13.33827,20.0,29986.0,19685.0,8995.0,0.45,max_pressure,1
189.044373,248.0,8.17875,13.32794,20.0,29960.0,19629.0,8735.0,0.45,max_pressure,2
189.527225,248.0,8.203333,13.399693,20.0,30052.0,19688.0,8853.0,0.45,max_pressure,3
189.427347,249.0,8.2125,13.387975,20.0,30180.0,19710.0,8567.0,0.45,max_pressure,4
215.446909,289.0,7.110417,13.396834,20.0,26028.0,17065.0,17258.0,0.5,actuated,0
216.911639,287.5,7.134583,13.394549,20.0,26169.0,17123.0,17443.0,0.5,actuated,1
216.321083,287.0,7.1425,13.417199,20.0,26110.0,17142.0,17227.0,0.5,actuated,2
219.901684,297.0,7.052083,13.458652,20.0,25875.0,16925.0,17270.0,0.5,actuated,3
219.754414,295.0,7.0325,13.421372,20.0,25778.0,16878.0,17140.0,0.5,actuated,4
244.781036,325.5,6.450833,14.521869,20.0,23802.0,15482.0,19349.0,0.5,fixed,0
246.704366,328.5,6.4325,14.535214,20.0,23668.0,15438.0,19669.0,0.5,fixed,1
243.610227,323.0,6.465833,14.511209,20.0,23819.0,15518.0,19310.0,0.5,fixed,2
244.433299,324.0,6.459167,14.515278,20.0,23728.0,15502.0,19327.0,0.5,fixed,3
244.199884,321.5,6.451667,14.538912,20.0,23808.0,15484.0,19144.0,0.5,fixed,4
193.02917,252.0,8.170417,13.390943,20.0,30023.0,19609.0,13133.0,0.5,max_pressure,0
193.038109,251.0,8.222083,13.42235,20.0,30167.0,19733.0,13170.0,0.5,max_pressure,1
191.183369,249.5,8.195,13.344809,20.0,30137.0,19668.0,13080.0,0.5,max_pressure,2
190.816884,248.0,8.202917,13.34287,20.0,30169.0,19687.0,12658.0,0.5,max_pressure,3
192.171031,249.5,8.227083,13.378084,20.0,30158.0,19745.0,12947.0,0.5,max_pressure,4
